App,Category,Rating,Reviews,Size,Installs,Type,Price
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,3.6375861597263857,7.1,4.0,Free,0.0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,10.197425019150417,57.0,5.999999999999999,Free,0.0
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,7.7306140660637395,22.0,5.698970004336018,Free,0.0
Filters for B Live,BEAUTY,4.4,7.731930721948486,24.0,5.698970004336018,Free,0.0
Facial Wrinkle Reduction,BEAUTY,4.6,5.214935757608986,21.0,4.0,Free,0.0
Makeup Videos,BEAUTY,3.8,2.1972245773362196,3.4,3.6989700043360187,Free,0.0
Discover Color,BEAUTY,4.0,5.8971538676367405,6.4,5.0,Free,0.0
Eyeliner step by step 2018,BEAUTY,4.3,2.8903717578961645,3.2,3.6989700043360187,Free,0.0
Dresses Ideas & Fashions +3000,BEAUTY,4.5,6.159095388491933,8.2,5.0,Free,0.0
Step By Step Hairstyles For Women,BEAUTY,4.1,4.189654742026425,2.9,4.0,Free,0.0
Rainbow Camera,BEAUTY,3.7,8.261268150577648,23.0,5.999999999999999,Free,0.0
Methods of teeth whitening,BEAUTY,4.7,5.54907608489522,4.6,4.698970004336019,Free,0.0
Girls hairstyles 2018,BEAUTY,4.2,4.127134385045092,3.1,4.0,Free,0.0
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,7.526717561352706,4.9,4.698970004336019,Free,0.0
Download free book with green book,BOOKS_AND_REFERENCE,4.6,8.4069317971587,9.5,5.0,Free,0.0
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,6.035481432524756,4.2,5.0,Free,0.0
Book store,BOOKS_AND_REFERENCE,4.4,10.020648172309706,5.4,5.999999999999999,Free,0.0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,7.268920128193722,2.8,5.698970004336018,Free,0.0
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,11.66570663601972,5.0,5.999999999999999,Free,0.0
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,11.412751475999702,5.9,6.698970004336019,Free,0.0
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,6.756932389247553,13.0,5.0,Free,0.0
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,12.80472781149734,7.1,7.0,Free,0.0
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,6.874198495453294,6.7,5.698970004336018,Free,0.0
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,9.770298958292383,17.0,5.999999999999999,Free,0.0
Cloud of Books,BOOKS_AND_REFERENCE,3.3,7.529406457837013,19.0,5.999999999999999,Free,0.0
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,7.642044402873258,6.7,5.698970004336018,Free,0.0
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,10.764328997415893,21.0,5.999999999999999,Free,0.0
Ebook Reader,BOOKS_AND_REFERENCE,4.1,11.36026367619439,37.0,6.698970004336019,Free,0.0
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,8.965845494750937,15.0,5.0,Free,0.0
Read books online,BOOKS_AND_REFERENCE,4.1,11.425350292714276,23.0,6.698970004336019,Free,0.0
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,8.438149984075784,19.0,5.698970004336018,Free,0.0
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,9.96815106586185,23.0,5.999999999999999,Free,0.0
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,10.198951765429964,73.0,5.698970004336018,Free,0.0
Flybook,BOOKS_AND_REFERENCE,3.9,7.48324441607385,4.9,5.698970004336018,Free,0.0
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,7.904334842085095,6.8,5.999999999999999,Free,0.0
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,6.267200548541362,2.9,5.0,Free,0.0
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,7.186901020411631,3.5,5.0,Free,0.0
Free Book Reader,BOOKS_AND_REFERENCE,3.4,7.426549072397305,4.0,5.0,Free,0.0
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,7.915348169263078,21.0,4.698970004336019,Free,0.0
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,6.970730078143525,2.3,5.698970004336018,Free,0.0
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,9.081142433504501,10.0,5.999999999999999,Free,0.0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,10.844841560003951,6.1,5.999999999999999,Free,0.0
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,10.312446549898548,2.1,5.999999999999999,Free,0.0
Azpen eReader,BOOKS_AND_REFERENCE,3.5,5.049856007249537,42.0,5.698970004336018,Free,0.0
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,12.74009806086642,30.0,7.0,Free,0.0
ADP Mobile Solutions,BUSINESS,4.3,11.352580640979642,29.0,6.698970004336019,Free,0.0
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,13.81836747309313,35.0,8.0,Free,0.0
USPS MOBILE®,BUSINESS,3.9,9.716495104092274,9.1,5.999999999999999,Free,0.0
Job Search by ZipRecruiter,BUSINESS,4.8,11.911332389266486,25.0,5.999999999999999,Free,0.0
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,8.402455513945814,3.9,5.698970004336018,Free,0.0
Google Primer,BUSINESS,4.4,11.039267165545677,18.0,7.0,Free,0.0
Alba Heaven - Alvarez Job Portal Services,BUSINESS,4.0,9.098402718735318,12.0,6.698970004336019,Free,0.0
SuperLivePro,BUSINESS,4.3,10.744041293818528,21.0,5.999999999999999,Free,0.0
Polaris Office for LG,BUSINESS,4.2,10.336794779872381,55.0,6.698970004336019,Free,0.0
Call Blocker,BUSINESS,4.6,12.148660670134445,3.2,6.698970004336019,Free,0.0
Plugin:AOT v5.0,BUSINESS,3.1,8.302513718514158,23.0,5.0,Free,0.0
Kariyer.net,BUSINESS,3.9,10.735613760377523,16.0,5.999999999999999,Free,0.0
Become a Job - Find a job or advertise,BUSINESS,4.1,8.839711378703475,14.0,5.999999999999999,Free,0.0
ZOOM Cloud Meetings,BUSINESS,4.4,10.36135533943734,37.0,7.0,Free,0.0
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,12.242269560841992,11.0,6.698970004336019,Free,0.0
ViettelPost express delivery,BUSINESS,4.4,7.110696122978827,25.0,5.0,Free,0.0
MyASUS - Service Center,BUSINESS,4.4,12.850126741044791,7.3,7.0,Free,0.0
Job Korea - Career Jobs,BUSINESS,4.3,9.268609280100158,6.5,5.999999999999999,Free,0.0
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4.4,11.216659993654583,25.0,5.999999999999999,Free,0.0
Myanmar 2D/3D,BUSINESS,4.6,6.71174039505618,3.1,5.0,Free,0.0
sABN,BUSINESS,4.4,7.734996194022781,1.5,5.999999999999999,Free,0.0
ATI Cargoes and Transportation,BUSINESS,4.7,8.33375100695358,7.5,5.0,Free,0.0
Secure Folder,BUSINESS,3.8,9.599676098154463,8.6,7.698970004336018,Free,0.0
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,12.566878545309697,39.0,7.0,Free,0.0
Fast Scanner : Free PDF Scan,BUSINESS,4.5,11.549787629702795,14.0,7.0,Free,0.0
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,10.747315112676567,19.0,5.999999999999999,Free,0.0
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,9.345046074828474,6.8,5.0,Paid,4.99
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,9.23941361946189,39.0,5.0,Paid,4.99
Zenefits,BUSINESS,4.2,5.69035945432406,14.0,4.698970004336019,Free,0.0
Google Ads,BUSINESS,4.3,10.285786382612454,20.0,6.698970004336019,Free,0.0
FreshBooks Classic,BUSINESS,4.1,7.496652438168283,26.0,5.0,Free,0.0
Insightly CRM,BUSINESS,3.8,7.232010331664759,51.0,5.0,Free,0.0
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,10.050829390434055,41.0,5.999999999999999,Free,0.0
HipChat - Chat Built for Teams,BUSINESS,3.8,8.677269139262872,20.0,5.698970004336018,Free,0.0
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,8.60300384782935,12.0,5.698970004336018,Free,0.0
Crew - Free Messaging and Scheduling,BUSINESS,4.6,8.33302993974291,48.0,5.698970004336018,Free,0.0
Asana: organize team projects,BUSINESS,4.3,9.943429159629076,10.0,5.999999999999999,Free,0.0
Google Analytics,BUSINESS,4.5,11.272915471546117,22.0,5.999999999999999,Free,0.0
AdWords Express,BUSINESS,4.1,8.874727765766853,11.0,5.999999999999999,Free,0.0
Accounting App - Zoho Books,BUSINESS,4.5,8.0323601479245,8.5,5.0,Free,0.0
Invoice & Time Tracking - Zoho,BUSINESS,4.6,8.66561319653451,8.6,5.0,Free,0.0
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,9.706377178268735,28.0,5.999999999999999,Free,0.0
Cisco Webex Meetings,BUSINESS,4.4,11.596724186905558,28.0,7.0,Free,0.0
ZOOM Cloud Meetings,BUSINESS,4.4,10.36135533943734,37.0,7.0,Free,0.0
ScreenMeet. Easy Phone Meeting,BUSINESS,4.0,6.436150368369428,9.0,5.0,Free,0.0
Cisco Webex Teams,BUSINESS,4.2,7.415175109613295,46.0,5.0,Free,0.0
Start Meeting,BUSINESS,4.1,5.730099782973574,14.0,4.698970004336019,Free,0.0
ClickMeeting Webinars,BUSINESS,3.8,8.558527054909215,26.0,5.999999999999999,Free,0.0
BlueJeans for Android,BUSINESS,3.9,6.964135612418245,23.0,5.698970004336018,Free,0.0
Zenefits,BUSINESS,4.2,5.69035945432406,14.0,4.698970004336019,Free,0.0
Google Ads,BUSINESS,4.3,10.285786382612454,20.0,6.698970004336019,Free,0.0
FreshBooks Classic,BUSINESS,4.1,7.496652438168283,26.0,5.0,Free,0.0
Insightly CRM,BUSINESS,3.8,7.232010331664759,51.0,5.0,Free,0.0
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,10.050829390434055,41.0,5.999999999999999,Free,0.0
HipChat - Chat Built for Teams,BUSINESS,3.8,8.677269139262872,20.0,5.698970004336018,Free,0.0
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,8.60300384782935,12.0,5.698970004336018,Free,0.0
Crew - Free Messaging and Scheduling,BUSINESS,4.6,8.33302993974291,48.0,5.698970004336018,Free,0.0
Asana: organize team projects,BUSINESS,4.3,9.943429159629076,10.0,5.999999999999999,Free,0.0
Google Analytics,BUSINESS,4.5,11.272915471546117,22.0,5.999999999999999,Free,0.0
AdWords Express,BUSINESS,4.1,8.874727765766853,11.0,5.999999999999999,Free,0.0
Accounting App - Zoho Books,BUSINESS,4.5,8.0323601479245,8.5,5.0,Free,0.0
Invoice & Time Tracking - Zoho,BUSINESS,4.6,8.66561319653451,8.6,5.0,Free,0.0
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,9.706377178268735,28.0,5.999999999999999,Free,0.0
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,12.566878545309697,39.0,7.0,Free,0.0
Fast Scanner : Free PDF Scan,BUSINESS,4.5,11.549787629702795,14.0,7.0,Free,0.0
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,10.747315112676567,19.0,5.999999999999999,Free,0.0
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,9.345046074828474,6.8,5.0,Paid,4.99
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,9.23941361946189,39.0,5.0,Paid,4.99
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,13.818365478796817,35.0,8.0,Free,0.0
Verify - Receipts & Expenses,BUSINESS,4.5,6.023447592961033,29.0,4.0,Free,0.0
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,10.050829390434055,41.0,5.999999999999999,Free,0.0
Manga Master - Best manga & comic reader,COMICS,4.6,10.08601742096504,4.9,5.698970004336018,Free,0.0
GANMA! - All original stories free of charge for all original comics,COMICS,4.7,10.952664468932817,27.0,5.999999999999999,Free,0.0
Röhrich Werner Soundboard,COMICS,4.7,7.718240951959316,32.0,5.698970004336018,Free,0.0
Unicorn Pokez - Color By Number,COMICS,4.8,6.246106765481563,12.0,4.698970004336019,Free,0.0
MangaToon - Comics updated Daily,COMICS,3.9,6.726233402358747,15.0,4.698970004336019,Free,0.0
Manga Net – Best Online Manga Reader,COMICS,4.1,6.917705609835305,11.0,4.698970004336019,Free,0.0
Manga Rock - Best Manga Reader,COMICS,4.4,12.384093300022423,28.0,5.999999999999999,Free,0.0
Manga - read Thai translation,COMICS,4.6,5.71042701737487,2.2,4.0,Free,0.0
The Vietnam Story - Fun Stories,COMICS,4.5,6.082218910376446,3.4,4.0,Free,0.0
Dragon Ball Wallpaper - Ringtones,COMICS,4.7,4.290459441148391,8.3,4.0,Free,0.0
Funny Jokes Photos,COMICS,4.4,3.6635616461296463,4.3,4.0,Free,0.0
Truyện Vui Tý Quậy,COMICS,4.5,4.969813299576001,4.7,4.0,Free,0.0
Comic Es - Shojo manga / love comics free of charge ♪ ♪,COMICS,3.9,7.687538766201629,10.0,5.0,Free,0.0
comico Popular Original Cartoon Updated Everyday Comico,COMICS,3.2,11.450677651490702,15.0,6.698970004336019,Free,0.0
Daily Manga - Comic & Webtoon,COMICS,3.2,7.27655640271871,7.1,5.0,Free,0.0
"漫咖 Comics - Manga,Novel and Stories",COMICS,4.1,9.399968503952575,21.0,5.999999999999999,Free,0.0
Emmanuella Funny Videos 2018,COMICS,4.5,5.749392985908253,6.1,5.0,Free,0.0
Manga Zero - Japanese cartoon and comic reader,COMICS,4.2,9.628655892063167,15.0,5.999999999999999,Free,0.0
Marvel Unlimited,COMICS,3.7,10.023534689845578,11.0,5.999999999999999,Free,0.0
"Tapas – Comics, Novels, and Stories",COMICS,4.5,10.303571541691813,29.0,5.999999999999999,Free,0.0
Children's cartoons (Mithu-Mina-Raju),COMICS,4.6,5.631211781821365,3.3,5.0,Free,0.0
Faustop Sounds,COMICS,4.7,7.424761761823209,40.0,5.0,Free,0.0
Manga Mania - Best online manga reader,COMICS,4.4,6.6293632534374485,10.0,4.0,Free,0.0
- Free Comics - Comic Apps,COMICS,3.5,4.74493212836325,9.1,4.0,Free,0.0
Manga AZ - Manga Comic Reader,COMICS,3.3,4.8283137373023015,4.7,3.6989700043360187,Free,0.0
Buff Thun - Daily Free Webtoon / Comics / Web Fiction / Mini Game,COMICS,4.5,9.20552881497896,38.0,5.698970004336018,Free,0.0
Funny Jokes and Stories 2018,COMICS,4.2,3.044522437723423,6.7,3.6989700043360187,Free,0.0
Hojiboy Tojiboyev Life Hacks,COMICS,5.0,2.70805020110221,37.0,2.9999999999999996,Free,0.0
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,8.18757739559151,7.8,4.0,Free,0.0
think Comics,COMICS,4.4,6.913737350659685,19.0,4.698970004336019,Free,0.0
Memes Button,COMICS,4.4,8.694167141883597,5.7,5.999999999999999,Free,0.0
"Laftel - Watching and Announcing Snooping, Streaming",COMICS,4.6,8.49596955496461,35.0,5.0,Free,0.0
Messenger for SMS,COMMUNICATION,4.3,11.738122905608975,17.0,7.0,Free,0.0
My Tele2,COMMUNICATION,4.3,11.97463857261698,8.8,6.698970004336019,Free,0.0
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,15.247733373417532,16.0,8.0,Free,0.0
imo beta free calls and text,COMMUNICATION,4.3,13.399078026940124,11.0,8.0,Free,0.0
imo free video calls and chat,COMMUNICATION,4.3,15.381182981378878,11.0,8.698970004336019,Free,0.0
